Etiquetas de fila,Promedio de Rating_Personal,Promedio de Rating_RYM,Cuenta de Ranking_On_Spotify,Cuenta de Artist_Name
Ha*Ash,2.5,3.25,0,1
KISS,3.333333333,3.2,0,3
Juanes,3.5,3.17,0,1
Jhayco,3.5,3.18,0,1
Paramore,3,3.63,0,1
Tiago PZK,3,2.7,0,1
Prince and The Revolution,4,4.14,0,1
Trueno,3,2.575,0,2
Noriel,2.5,3.31,0,1
Vampire Weekend,3.5,3.65,0,2
Madvillain,4,4.33,0,1
Belanova,3.5,3.66,0,1
Stray Kids,3,3.08,0,1
RM,2.5,3.12,0,1
Soda Stereo,3.75,3.755,0,2
Chase Atlantic,2.5,3.15,0,1
WOS,3,3.01,0,1
Bronco,3,3.44,0,1
Caifanes,3.5,3.855,0,2
Duki,1.5,2.35,0,2
ENHYPEN,2.5,2.93,0,1
Molotov,3.5,3.3,0,1
Canserbero,3.5,3.78,0,1
Alemán,3,3.05,0,1
José José,3.5,3.82,0,1
Enanitos Verdes,3,3.25,0,1
Panic at the Disco,3,3.3,0,1
Rels B,2,2.325,0,2
Ghost,3.5,3.4,0,1
Bellakath,1,2.26,0,1
Café Tacvba,5,3.82,0,1
Jackboys & Travis Scott,2,1.92,0,1
Enjambre,3.333333333,3.586666667,0,3
Pulp,3.5,3.91,0,1
Intocable,3,3.66,0,1
Charles Ans,3,3.71,0,1
Maldita Vecindad y los Hijos del Quinto Patio,4.5,3.77,0,1
Ado,2,3.33,0,1
AKRIILA,3,3.68,0,1
Alta Consigna,1.5,1.5,0,1
André 3000,2.5,2.38,0,1
Aphex Twin,3.5,4.11,0,1
Babasónicos,3.5,3.72,0,1
Bb trickz,3,2.65,0,1
Big Time Rush,2.5,2.7,0,1
Björk,3.5,4.01,0,1
"Black Country, New Road",3.75,3.805,0,2
Blood Orange,3.5,3.48,0,1
Blur,4,3.66,0,1
CA7RIEL,4,3.43,0,1
CA7RIEL & Paco Amoroso,3.25,3.26,0,2
Cachirula & LOOJAN,2,3.03,0,1
Cacomixtle,3.5,3.57,0,1
Caloncho,3,2.36,0,1
Candelabro,4,3.84,0,1
Cannons,3,3.4,0,1
Car Seat Headrest,3,3.81,0,1
Cerounno & Vinyltracker,3,3.85,0,1
Choclock,2.5,3.33,0,1
Clipse,4,3.87,0,1
Control Machete,3.5,3.55,0,1
"Daniel, me estás matando",3.5,3.72,0,1
Danna,2,2.78,0,1
day2k,3,3.2,0,1
Deftones,3,3.93,0,1
Dillom,3.75,3.635,0,2
Doja Cat,2.5,3.14,0,1
DPR IAN,3,3.44,0,1
Duelo,3,3,0,1
